name,street,lat,lng,fb_id,image_url,phone,url,description,tags,listed
Holiday Inn Select – University Center,100 Lytton Ave.,,,130664376946254,http://profile.ak.fbcdn.net/hprofile-ak-ash2/23312_130664376946254_892_s.jpg,(412) 682-6200,www.holidayinn.com,,hotel;lodging,1
Community of Reconcilation,100 N Bellefield Ave.,,,,,(412) 682-2751,,,religious;place of worship;church,1
Schenley Park Visitor's Center,101 Panther Hollow Road,,,205974802752877,http://profile.ak.fbcdn.net/hprofile-ak-snc4/187994_205974802752877_7850972_s.jpg,(412) 687-1800,http://www.pittsburghparks.org/schenleyparkcafe,,food;café;coffee,1
H & R Block,107 Atwood St.,,,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-snc4/373031_7723400562_534767387_n.jpg,(412) 681-2797,www.hrblock.com,,accounting;finance;money;taxes,1
Pittsburgh Science and Technology Academy,107 Thackery Ave.,,,,,(412) 622-5980,http://www.pps.k12.pa.us/frick/site/default.asp,,school;education,1
St. Paul Cathedral Rectory,108 N. Dithridge St.,,,214787775231464,,(412) 621-4951,,,religious;place of worship;church,0
Maggie & Stella's Gifts,109 Oakland Avenue,,,maggieandstellas,,(412) 648-1353,http://www.maggieandstellasgifts.com/,,shopping;store;gifts,1
Jazz Cuts,110 Atwood St.,,,,MinsJazzCuts.jpg,(412) 561-8809,,,barber;salon;hair;beauty,1
Natural Choice,111 Meyran Ave.,,,,http://a4.ec-images.myspacecdn.com/profile01/135/1cd48c10acbd42eca82ef113c20fef17/p.jpg,(412) 681-7746,,We at The Natural Choice are and always will be dedicated to the process of the un-processing your beautiful natural hair. No longer are the days of conforming to the so-called established way of wearing our hair. We are now in a time when we can be proud of every god given natural strand of hair that we possess. Come and let our Natural hair specialists consult with you and show you the endless list of options that you have when going natural. Brothas & Sistas come and explore all of the possibilities of your beautiful natural hair.,hair;beauty;barber,1
Hocus Pocus,113 Meyran Ave.,,,,http://www.hocuspocus13.net/Hocus%20Pocus.jpg,(412) 622-0113,http://www.hocuspocus13.net/store.html,"Hocus Pocus offers a complete line of Esoteric supplies for the Magickal practitioners of Witchcraft, Wicca, Ceramonial Magick, Voodoo, Druidry, Shamanism, Hermetic Alchemy, Yoruban Religions, Herbalism, Aromatherapy, Astrology, Kameticism, (Egyptian) Chaos Magick, Kabbalistic studies and Left Hand Path. Our freindly, knowledgeable staff is available to assist you in answering any questions that you might have while shopping. Phone orders are warmly welcomed. Hocus Pocus is stocked with an extensive variety of Magickal Tools including; chalices, wands, athames, swords, altar pentacles, candles, herbs, oils, incense, talismans, pendulumns, scrying mirrors, bells, cauldrons, besoms, statuary, tarot decks, crystal balls, books, burners, quartz crystals, gemstones and much more.",shopping;book store;reading;magick,1
Pizza Sola,114 Atwood St.,,,PizzaSola,http://profile.ak.fbcdn.net/hprofile-ak-snc4/211087_349097652916_4529320_s.jpg,(412) 681-7652,http://www.pizzasola.com/,,food;pizza,1
Sweet Berry Frozen Yogurt,115 Meyran Avenue,,,140995945974331,http://profile.ak.fbcdn.net/hprofile-ak-snc4/195754_140995945974331_1443006_s.jpg,(412) 235 7623,,,food;ice cream,1
Hot Rod Piercing,115 Oakland Ave.,,,,http://www.hotrodpiercingcompany.com/photos/shops/oakland.jpg,(412) 687-4320,http://www.hotrodpiercingcompany.com/,Hot Rod Piercing Co. has been providing the city of Pittsburgh with the most experienced piercing staff and only the best quality body jewelry available for ten years now. We use only the most up to date methods to insure that both your piercing experience and your healing experience are successful.,Piercing,1
Hair Friends,116 Oakland Ave.,,,,,(412) 681-9243,,,hair;makeover;beauty salon,1
Peter's Pub,116 Oakland Ave.,,,147938173556,http://www.yourareacode.com/images/gdi/barimg.php?file=6b026fd5894262bc9bea049c42ea7f4e1265661543.jpg&maxwidth=500&maxheight=500,(412) 681-7465,http://www.mypeterspub.com/,,food;sandwiches;restaurant;bar;alcohol;drink;beer,1
Crazy Mocha,116 S. Bouquet St.,,,127771128936,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41608_127771128936_3155129_s.jpg,(412) 621-7440,http://www.crazymocha.com/,,food;café;coffee,1
Hot Tips,117 Oakland Ave.,,,,HotTipsNailSalon.jpg,(412) 682-3105,,,hair;makeover;beauty;salon;nails,1
Five Guys Burgers and Fries,117 S. Bouquet St.,,,corporate:fiveguys,,(412) 781-5590,http://www.fiveguys.com/home.aspx,,food;restaurant;sandwiches,1
"Peace, Love and Little Donuts",118 Meyran Avenue,,,168172703239295,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174878_168172703239295_1857494_s.jpg,(412) 379-3930,http://www.peaceloveandlittledonuts.com/,,food;donuts;coffee,1
Oishii Bento,119 Oakland Avenue,,,128620450510669,http://profile.ak.fbcdn.net/hprofile-ak-ash2/27541_128620450510669_2263_s.jpg,(412) 687-3335,http://oishiibento.com/,,food;restaurant;asian,1
St. Agnes Roman Catholic Church,120 Robinson St.,,,,,(412) 682-1129,,,religious;place of worship;church,1
St. Agnes School,120 Robinson St.,,,,,(412) 682-1129,http://www.stagnesoakland.org/site/,,education;school;religious;place of worship;church,0
Leena's Food,121 Oakland Avenue,,,leenasfood,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50312_59693855755_7954_s.jpg,(412)-480-8854,,,food;restaurant;Middle Eastern,1
University Club,123 University Pl.,,,UniversityClubatPitt,,(412) 621-1890,http://www.uc.pitt.edu/,,university;weddings,1
Peter's Optical Shoppe,124 Oakland Ave.,,,,PetersOpticalShoppe.jpg,(412) 681-8913,,,shopping;store;health;glasses,1
Szechuan Express,125 Oakland Ave.,,,,SzechuanExpress.jpg,(412) 670-0126,,,food;restaurant;chinese;asian,1
Citizens Bank,128 N. Craig St.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/538916_416801405003809_131677553516197_1861510_2054373364_n.jpg,(412) 621-3344,www.citizensbank.com,,finance;money;atm;bank,1
Sushi Boat,128 Oakland Ave.,,,,sushiboat.jpg,(412) 681-1818,,,food;restaurant;asian;sushi,1
St. Paul's Cathedral School,136 N. Craig St.,,,214787775231464,,(412) 621-7023,,,religious;place of worship;church,1
Oakland Catholic High School,144 N. Craig Street,,,194864157210632,http://profile.ak.fbcdn.net/hprofile-ak-snc4/187821_194864157210632_2815424_s.jpg,(412) 682-6633,http://www.oaklandcatholic.org/,,school;education,1
First Baptist Church,159 North Bellefield,,,108697855875679,http://profile.ak.fbcdn.net/hprofile-ak-snc4/188120_108697855875679_4117878_s.jpg,(412) 621-0500,,,religious;place of worship;church,1
Friendship Community Presbyterian Church,181 Robinson St.,,,,http://www.friendshipcpc.org/bannerleft.gif,(412) 683-0575,,"In general, Friendship Church are people who have an earnest desire to be obedient followers of our Lord and Savior, Jesus Christ. Among our individual and corporate gifts the following stand out: faithfulness, courage, wisdom, discernment, service, worship, hospitality, generosity, administration, teaching, knowledge, honesty, hope and above all, love.",religious;place of worship;church,1
Pizza Prima,190 N. Craig St.,,,,PizzaPrima.jpg,(412) 687-6464,,,food;pizza;sandwiches,1
Alex's Flowers,192 N. Craig St.,,,,http://www.alexsflowers.com/images/store.jpg,(412) 687-4128,http://www.alexsflowers.com/,"In 1983, I started Alex's Flowers as a street corner vendor. My goal was to sell fresh and long lasting flowers at a reasonable price. Today, in my store (corner of Craig & Bayard), the goal is still the same. I employ a courteous and knowledgeable staff. Alex's Flowers is a full service florist specializing in flowers, plants, balloons, fruit, munch and gourmet baskets. Same day delivery is available to most destinations.",shopping;store;florist;flowers,1
Sunoco A-Plus Mini Market,195 N. Craig St.,,,,,(412) 687-7554,www.sunoco.com,,store;atm;drink;cigarettes;lottery;convenience store;food;gas station,1
UPMC Presbyterian,200 Lothrop St.,,,,,(412) 647-2345,www.upmc.edu,,health;hospital,1
Western PA School for the Blind,201 N. Bellefield Ave.,,,,http://www.jendoco.com/files/jendoco_project_photo/WPSB1.jpg,(412) 621-0100,http://www.wpsbc.org/wpsbc/site/default.asp,"Located in the heart of Oakland, Pennsylvania, the Western Pennsylvania School for Blind Children is a one-of-a-kind educational facility committed to training visually impaired students with additional disabilities. The School also provides vital early intervention and outreach services to visually impaired students, with or without additional challenges, throughout western Pennsylvania.",school;education,1
First Church of Christ Scientist,201 N. Dithridge St.,,,christiansciencepgh,http://profile.ak.fbcdn.net/hprofile-ak-snc4/372891_118316171513854_191795840_s.jpg,(412) 621-5339,,,religious;place of worship;church,1
Oliverio Hair & Nails,201 S. Craig St.,,,,OliverioHair.jpg,(412) 681-4666,,,hair;makeover;beauty salon,1
Dave & Andy's Ice Cream,207 Atwood St.,,,DaveNAndys,http://profile.ak.fbcdn.net/hprofile-ak-ash2/276743_183840534624_6680639_s.jpg,(412) 681-9906,,,food;ice cream,1
Crepes Parisiennes,207 S. Craig St.,,,,CrepesParisiennes.jpg,(412) 683-1912,,,food;restaurant;French,1
Small Business Development Cntr.,208 Bellefield Hall,,,,http://www.business.pitt.edu/entrepreneur/sbdc/i/sbdc-mast.jpg,(412) 648-1544,,"he mission of the Small Business Development Center at the University of Pittsburgh is to grow the economy of Western Pennsylvania by providing entrepreneurs with the education, information and tools necessary to build successful businesses.",school;education;university,1
Rite Aid,209 Atwood St.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/398844_422667321080344_115568331790246_1777939_534510547_n.jpg,(412) 621-4338,www.riteaid.com,,shopping;health;medical;pharmacy;drug store,1
Uncle Sam's Subs,210 Oakland Ave.,,,,UncleSamsSubs.jpg,(412) 621-1885,http://www.unclesamssubs.com/,"Uncle Sam's is a friendly little joint that makes some of the best sandwiches in the universe. If you don't believe us, check out our reviews. Over the last twenty-five years we have won just about every ""best of"" award there is to win. Our secret is pretty simple. Unlike those big corporate places, we are owner-operated. That means that usually the guy cooking your food actually owns the place. Plus, we use only the best local ingredients which we have delivered fresh daily. Oh yeah, we're nicer too. Not in the canned ""by the manual"" sort of way. More in the treat you like a real person sort of way. No big deal really, but we like to let you know we actually appreciate you coming in to eat.",food;restaurant;sandwiches,1
Fuel & Fuddle,212 Oakland Ave.,,,52775066304,http://profile.ak.fbcdn.net/hprofile-ak-snc4/71039_52775066304_2866450_s.jpg,(412) 682-3473,http://www.fuelandfuddle.com/,,food;entertainment;restaurant,1
Gregory's Hair Design,214 N. Craig St.,,,,,(412) 682-1191,,,hair;makeover;beauty salon,1
Little Nipper's Pizza,216 N. Craig St.,,,,LittleNippers.jpg,(412) 683-3777,,,food;pizza,1
Oakland Real Estate Co.,216 Oakland Ave.,,,,,(412) 621-2742,,,Real Estate,1
Wines & Spirits,217 Atwood St.,,,corporate:FineWineAndGoodSpirits,,(412) 688-1943,www.pawinesandspirits.com,,liquor;wine,1
Pizza Romano,219 Atwood St.,,,,PizzaRomano.jpg,(412) 621-6200,,,food;pizza;sandwiches,1
Pittsburgh Playhouse,222 Craft Ave.,,,pittsburgh.playhouse,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174667_125166184463_1956988540_s.jpg,(412) 621-4445,http://www.pittsburghplayhouse.com/,,theater;university,1
Pittsburgh Cafe,226 Meyran Ave.,,,157973787550089,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50435_157973787550089_1348_s.jpg,(412) 687-3330,http://www.pittsburghcafe.com/,,food;restaurant;beer;bar;alcohol,1
Tong's Cuisine,228 Semple Street,,,,TongsCuisine.jpg,(412) 918-1484,www.tongscuisine.com/,,food;restaurant;chinese;asian,1
Oakland General Store,229 Atwood St.,,,220336147980324,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174890_220336147980324_4962127_s.jpg,(412) 683-0313,,,store;shopping;drink;cigarettes;lottery;convenience store;food,1
Eye & Ear Institute,230 Lothrop St.,,,UPMCEyeCenter,,(412) 647-2345,www.upmc.edu,,health;medical;doctor,1
Sorrento's Pizza,233 Atwood St.,,,,SorrentosPizza.jpg,(412) 621-9129,,,food;pizza,1
Family House,233 McKee Place,,,FamilyHousePittsburgh,http://profile.ak.fbcdn.net/hprofile-ak-snc4/71155_306452702240_5228400_s.jpg,(412) 647-7777,http://www.familyhouse.org/,,hospital;lodging,1
United Jewish Federation,234 McKee Place,,,jfedpgh,http://profile.ak.fbcdn.net/hprofile-ak-ash2/277048_143774118973435_1660632446_s.jpg,(412) 681-8000,http://www.jewishfederationpittsburgh.org/,,religious,1
New Oakland Tailor,234 Meyran Ave.,,,,NewOaklandTailor.jpg,(412) 682-8028,,,laundry;dry cleaning;tailor,1
Oakland BID,235 Atwood Street,,,351740933073,http://profile.ak.fbcdn.net/hprofile-ak-snc4/187794_351740933073_2507124_s.jpg,(412) 683-6243,www.onlyinoakland.org,,Community,1
Oakland Community Council,235 Atwood Street,,,,,(412) 687-8568,,"Oakland Community Council was created in 1995 to assist residents in participating in the University of Pittsburgh’s Master Plan process. Since its inception, Oakland Community Council has represented the needs of residents to the City and the institutions.  More and more the City Planning department has directed developers to sit down with the Oakland Community Council to discuss their plans before proceeding with construction.  Oakland Community Council’s goal is to improve the over all quality of life in Oakland.",Community,1
Oakland Planning & Dev. Corp.,235 Atwood Street,,,OPDC.org,http://profile.ak.fbcdn.net/hprofile-ak-ash2/372864_281919830556_1142582679_s.jpg,(412) 621-7863,www.opdc.org,,Community,1
Puccini's,237 Atwood St.,,,salvatorepuccini,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41570_163329138211_5180592_s.jpg,(412) 621-2087,,,hair;makeover;beauty salon,1
The Black Bean,239 Atwood St.,,,corporate:172453829465490,,(412) 621-2326,http://www.blackbeancc.com/,,food;restaurant;cuban,1
Pittsburgh Parks Conservancy,242 McKee Place,,,pittsburghparks,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50355_7163241268_3712_s.jpg,(412) 682-7275,http://www.pittsburghparks.org/,,recreation;park,1
Antoon's Pizza,247 Atwood St.,,,197002851351,,(412) 687-5446,,,food;pizza,1
Church of Jesus Christ of Latter Day Saints,250 N. Dithridge St.,,,,,(412) 802-6086,,,religious;place of worship;church,1
Spice Island Tea House,253 Atwood St.,,,spiceislandteahouse,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174783_144419906007_1427308_s.jpg,(412) 687-8821,http://www.spiceislandteahouse.com/Homepage.html,,food;restaurant;asian,1
Bombay Emporium,294 Craft Ave.,,,,,(412) 682-4965,,,indian;food,1
Joe Bellisario Barber,302 Atwood St.,,,,JoeBellisarioBarber.jpg,(412)681-9725,,,hair;barber,1
Irish Design Center,303 S. Craig St.,,,IrishDesignCenter,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41781_141800975864810_9225_s.jpg,(412) 682-6125,http://www.irishdesigncenter.com/mysitecaddy/site3/,,shopping;store;Irish,1
The Renaissance & Baroque Society of Pittsburgh,Fifth Avenue and North Craig Street,,,55075526512,,(412) 682-5253,http://www.rbsp.org/,,Music,1
Eat Unique,305 S. Craig St.,,,110803379044947,http://www.eatuniquecafe.com/images/stories/eat_unique2_450.jpg,(412) 683-9993,http://www.eatuniquecafe.com/,,food;restaurant;café;sandwiches;coffee,1
Chief's Cafe,307 N. Craig St.,,,,ChiefsCafe.jpg,(412) 683-2936,,,entertainment;bar;alcohol;drink;beer,1
Thrifty Cleaners,310 N. Craig St.,,,,ThriftyCleaners.jpg,(412) 687-0114,,,laundry,1
Mark/Anthony Hair Salon,311 S. Craig St.,,,278028374563,,(412) 682-3670,,,hair;makeover;beauty salon,1
Craig Beer Distributor,313 North Craig Street,,,,CraigBeerDistributor.jpg,(412) 621-7200,,,beer,1
Pittsburgh Pretzel Sandwich Shop,3153 Forbes Avenue,,,pittsburghpretzel,,(412) 235-7807,http://www.pittsburghpretzel.com/,,food;restaurant;sandwiches,1
Lucca Restaurant,317 S. Craig St.,,,LuccaRistorante,http://profile.ak.fbcdn.net/hprofile-ak-ash2/157897_140184476011373_7299093_s.jpg,(412) 682-3310,http://luccaristorante.com/,,Italian;restaurant;food,1
Kohli's Indian Imports,319 S. Craig St.,,,,KohliIndianImports.jpg,(412) 621-1800,http://www.kohlisindianimports.com/,,shopping;store;Indian;food,1
Burma-Tokyo,320 Atwood St,,,,Burma-Tokyo.jpg,(412) 802-3163,,,food;restaurant;asian;japanese;sushi,1
St. Regis Parish,3235 Parkview Ave.,,,,http://home.catholicweb.com/stregis/images/St._Regis_Pictures/The_Parish_of_Saint_Regis_Website_Header_v2.jpg,(412) 681-9365,,"We are a vibrant, multi-lingual parish located in the heart of lower Oakland in Pittsburgh, Pennsylvania.  The Parish of St. Regis is conveniently located near the campuses of the University of Pittsburgh and Carnegie-Mellon University.  Our multi-cultural heritage is celebrated with masses offered in English and Spanish on a regular basis, with special masses in Italian and Polish. ",religious;place of worship;church,1
India Garden,328 Atwood St.,,,,IndiaGarden.jpg,(412) 682-3000,www.indiagarden.com,India Garden has mastered the art of Indian cooking and it is this mastery we offer to you. Please check our huge lunch buffet and our happy hour 50% off diners. Large selection of Indian beers from our full bar.,food;restaurant;indian,1
Hampton Inn,3315 Hamlet St.,,,109837018770,,(412) 681-1000,www.hamptoninn.com,,hotel;lodging,1
Carlow University,3333 Fifth Ave.,,,CarlowUniversity,,(412) 578-6000,http://www.carlow.edu/,,education;university,1
Allegheny County Health Dept.,3333 Forbes Ave.,,,119535718114755,,(412) 687-ACHD,www.achd.org,,health;government,1
Job Links,3360 Fifth Avenue,,,,,(412) 621-3821,,"JobLinks, a program of Oakland Planning and Development Corporation (OPDC), is a community-based, job readiness, healthcare employment and CPR certification and training center. JobLinks was founded in 1989, when the OPDC board recognized that the economic development taking place in and around Oakland was an opportunity for workforce solutions, and that area residents would need training and certifications to take advantage of the employment opportunities. Through a collaborative effort with Breachmenders Ministries Inc., JobLinks was born. Although based in Oakland, JobLinks has no geographic boundaries and offers services to job-seekers and employers from throughout Pittsburgh.",Education;career,1
Salem's Halal Meat Grocery,338 S. Bouquet St.,,,110939620161,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50275_110939620161_6959171_s.jpg,(412) 621-4354,,,supermarket;grocery;food;Middle Eastern,1
The Comfort Zone,3400 Fifth Avenue,,,,http://www.comfortzonesalons.com/image/22869654.jpg,(412) 688-9311,http://www.comfortzonesalons.com/,"Relax and let Comfort Zone Salon take care of all of your hair coloring, cutting, waxing, and other beauty salon services. We welcome walk-ins and offer UPMC™ and student discounts as well as monthly specials. We are locally owned and operated and have 10+ years of experience. Call us today for more information.",hair;makeover;beauty salon,1
Best Western,3401 Blvd. Allies,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/422122_10150611817873371_66499758370_9364097_1329320317_n.jpg,(412) 683-6100,www.bestwestern.com,,hotel;lodging,1
Flaherty & Co. Opticians,3402 Fifth Ave.,,,,,(412) 621-6027,,,shopping;store;health,1
Sciulli's Pizza,3404 Fifth Ave.,,,117063121645059,http://profile.ak.fbcdn.net/hprofile-ak-snc4/187904_117063121645059_8206456_s.jpg,(412) 687-9287,,,food;pizza,1
Board of Public Education,341 S Bellefield Ave.,,,294241040320,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41802_294241040320_5021354_s.jpg,(412) 622-3770,http://www.pghboe.net/pps/site/default.asp,,education,1
Panera Bread,3411 Boulevard of the Allies,,,corporate:panerabread,,(412) 683-9616,http://www.panerabread.com/,,food;café;restaurant;coffee,1
Arby's,3417 Forbes Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/421645_10150658672756812_51500251811_9601853_2007246378_n.jpg,(412) 687-3090,www.arby's.com,,food;restaurant,1
